Date,Distance,Job,Tax Deduction Value,Record Type,Details
05/26/2017,185.32 mi,,$99.15,automatic,"34187 Tony Ter, Fremont, CA, US - 6422 Commerce Dr, Fremont, CA, 94536, US"
05/27/2017,80.55 mi,,$43.10,automatic,"34234 Gannon Ter, Fremont, CA, US - 34179 Tony Terrace, Fremont, CA, 94555, US"
05/30/2017,190.49 mi,,$101.91,automatic,"34179 Tony Ter, Fremont, CA, US - 34179 Tony Terrace, Fremont, CA, 94555, US"
05/31/2017,166.36 mi,,$89.00,automatic,"172–194 S Shoreline Blvd, Mountain View, CA, US - 34179 Tony Terrace, Fremont, CA, 94555, US"
06/02/2017,162.32 mi,,$86.84,automatic,"34187 Tony Ter, Fremont, CA, US - 5701-5725 Commerce Dr, Fremont, CA, 94555, US"
06/02/2017,81.76 mi,,$43.74,automatic,"34179 Tony Ter, Fremont, CA, US - 34174 Gannon Terrace, Fremont, CA, 94555, US"
06/03/2017,131.91 mi,,$70.57,automatic,"34179 Tony Ter, Fremont, CA, US - 34179 Tony Terrace, Fremont, CA, 94555, US"
06/04/2017,39.80 mi,,$21.29,automatic,"34179 Tony Ter, Fremont, CA, US - 1399 Bush St, San Francisco, CA, 94109, US"
06/04/2017,36.48 mi,,$19.52,automatic,"2260–2274 San Bruno Ave, San Francisco, CA, US - 34197-34205 Gannon Terrace, Fremont, CA, 94555, US"
06/05/2017,251.94 mi,,$134.79,automatic,"34187 Tony Ter, Fremont, CA, US - 34179 Tony Terrace, Fremont, CA, 94555, US"
06/06/2017,213.69 mi,,$114.33,automatic,"6005 Jarvis Ave, Newark, CA, US - 34842-34886 Ardenwood Blvd, Newark, CA, 94560, US"
06/07/2017,198.51 mi,,$106.20,automatic,"34179 Tony Ter, Fremont, CA, US - 34842-34886 Ardenwood Blvd, Newark, CA, 94560, US"
06/08/2017,237.51 mi,,$127.07,automatic,"34179 Tony Ter, Fremont, CA, US - 34158-34190 Tony Terrace, Fremont, CA, 94555, US"
06/10/2017,95.97 mi,,$51.34,automatic,"34179 Tony Ter, Fremont, CA, US - 6422 Commerce Dr, Fremont, CA, 94536, US"
06/11/2017,120.50 mi,,$64.47,automatic,"35080 Newark Blvd, Newark, CA, US - 34179 Tony Terrace, Fremont, CA, 94555, US"
